stateabbr,statedesc,countyname,countyfips,totalpopulation,totalpop18plus,stroke_crudeprev,stroke_crude95ci,stroke_adjprev,stroke_adj95ci,state_fips,trial_site_pairs_recruiting,trials_recruiting,facilities_recruiting,trial_site_pairs_active,trials_active,facilities_active,has_site_recruiting,sites_per_100k_recruiting,sites_per_100k_adults_recruiting,has_site_active,sites_per_100k_active,sites_per_100k_adults_active,potential_desert_recruiting,potential_desert_active,potential_desert_active_ageadj,burden_quintile,population_quintile
AL,Alabama,Autauga,01001,60342,46253,3.7,"( 3.3,  4.2)",3.2,"( 2.8,  3.6)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,False,False,True,2,4
AL,Alabama,Baldwin,01003,253507,200397,3.8,"( 3.3,  4.3)",2.9,"( 2.5,  3.3)",01,2,2,2,2,2,2,True,0.7889328499804739,0.998018932419148,True,0.7889328499804739,0.998018932419148,False,False,False,2,5
AL,Alabama,Barbour,01005,24585,19517,5.8,"( 5.3,  6.5)",4.7,"( 4.3,  5.2)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,True,True,True,5,3
AL,Alabama,Bibb,01007,21868,17522,4.7,"( 4.2,  5.3)",4.0,"( 3.6,  4.5)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,True,True,True,4,3
AL,Alabama,Blount,01009,59816,46099,4.1,"( 3.5,  4.7)",3.3,"( 2.9,  3.7)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,True,True,True,3,4
AL,Alabama,Bullock,01011,9897,7878,7.3,"( 6.6,  8.1)",6.2,"( 5.6,  6.8)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,True,True,True,5,2
AL,Alabama,Butler,01013,18382,14276,5.5,"( 4.9,  6.1)",4.3,"( 3.8,  4.7)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,True,True,True,5,2
AL,Alabama,Calhoun,01015,116429,91555,4.2,"( 3.8,  4.8)",3.6,"( 3.3,  4.1)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,True,True,True,3,5
AL,Alabama,Chambers,01017,34079,26970,5.2,"( 4.6,  5.8)",4.1,"( 3.7,  4.5)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,True,True,True,5,3
AL,Alabama,Cherokee,01019,25666,20877,4.8,"( 4.2,  5.5)",3.5,"( 3.0,  3.9)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,True,True,True,5,3
AL,Alabama,Chilton,01021,46431,35269,4.0,"( 3.5,  4.5)",3.4,"( 3.0,  3.8)",01,0,0,0,0,0,0,False,0.0,0.0,False,0.0,0.0,False,False,True,3,4
