countyfips_2020,NAME,STUSPS,ALAND,st_name,st_name_abbrev,cnty_name,stroke_deaths_annual_avg_2021_2023,stroke_deaths_annual_avg_2020_2022,rural_urban_contnm_23,cens_popn_20,cens_rural_popn_20,mortality_published,metro_status_2023,trial_site_pairs_active,population_mean_active_miles,trial_site_pairs_recruiting,population_mean_recruiting_miles,trial_site_pairs_active_plus_unknown_sensitivity,population_mean_active_plus_unknown_sensitivity_miles
01001,Autauga,AL,1539634184,Alabama,AL,Autauga,40.000000,41.000000,2.000000,58805.000000,23920.000000,True,metro,0,43.927497,0,43.927497,0,43.642040
01003,Baldwin,AL,4117656199,Alabama,AL,Baldwin,136.000000,140.000000,3.000000,231767.000000,87113.000000,True,metro,2,12.676247,2,12.676247,6,7.077815
01005,Barbour,AL,2292160149,Alabama,AL,Barbour,13.000000,13.000000,6.000000,25223.000000,16627.000000,True,nonmetro,0,44.464331,0,44.464331,0,44.464331
01007,Bibb,AL,1612188717,Alabama,AL,Bibb,12.000000,12.000000,1.000000,22293.000000,22293.000000,True,metro,0,39.242763,0,39.242763,0,24.545115
01009,Blount,AL,1670259090,Alabama,AL,Blount,38.000000,41.000000,1.000000,59134.000000,53510.000000,True,metro,0,32.365847,0,32.365847,0,32.365847
01011,Bullock,AL,1613083467,Alabama,AL,Bullock,,,8.000000,10357.000000,10357.000000,False,nonmetro,0,58.809842,0,58.809842,0,58.809842
01013,Butler,AL,2012002546,Alabama,AL,Butler,21.000000,23.000000,6.000000,19051.000000,13228.000000,True,nonmetro,0,34.332645,0,34.332645,0,34.332645
01015,Calhoun,AL,1569246127,Alabama,AL,Calhoun,55.000000,58.000000,3.000000,116441.000000,42494.000000,True,metro,0,53.465680,0,53.465680,0,52.388004
01017,Chambers,AL,1545085601,Alabama,AL,Chambers,30.000000,34.000000,6.000000,34772.000000,17645.000000,True,nonmetro,0,40.994917,0,40.994917,0,40.994917
01019,Cherokee,AL,1433620850,Alabama,AL,Cherokee,16.000000,18.000000,8.000000,24971.000000,24971.000000,True,nonmetro,0,59.135640,0,59.135640,0,54.191801
01021,Chilton,AL,1794438835,Alabama,AL,Chilton,36.000000,34.000000,1.000000,45014.000000,38507.000000,True,metro,0,40.009146,0,40.009146,0,26.581580
01023,Choctaw,AL,2365900081,Alabama,AL,Choctaw,12.000000,12.000000,9.000000,12665.000000,12665.000000,True,nonmetro,0,92.337448,0,92.337448,0,83.472694
01025,Clarke,AL,3207494086,Alabama,AL,Clarke,15.000000,20.000000,9.000000,23087.000000,23087.000000,True,nonmetro,0,69.634131,0,69.634131,0,61.685266
01027,Clay,AL,1564255426,Alabama,AL,Clay,10.000000,11.000000,9.000000,14236.000000,14236.000000,True,nonmetro,0,24.667471,0,24.667471,0,24.667471
01029,Cleburne,AL,1450666453,Alabama,AL,Cleburne,,,8.000000,15056.000000,15056.000000,False,nonmetro,0,52.028899,0,52.028899,0,43.218581
01031,Coffee,AL,1758565928,Alabama,AL,Coffee,32.000000,34.000000,4.000000,53465.000000,25412.000000,True,nonmetro,0,28.003098,0,28.003098,0,28.003098
01033,Colbert,AL,1535742270,Alabama,AL,Colbert,33.000000,37.000000,3.000000,57227.000000,23060.000000,True,metro,0,62.078125,0,62.078125,0,59.999806
01035,Conecuh,AL,2202213384,Alabama,AL,Conecuh,12.000000,14.000000,9.000000,11597.000000,11597.000000,True,nonmetro,0,31.695866,0,31.695866,0,31.695866
01037,Coosa,AL,1685846963,Alabama,AL,Coosa,,,8.000000,10387.000000,10387.000000,False,nonmetro,0,13.397033,0,13.397033,0,13.397033
01039,Covington,AL,2669165738,Alabama,AL,Covington,38.000000,35.000000,6.000000,37570.000000,25854.000000,True,nonmetro,1,8.883482,1,8.883482,1,8.883482
01041,Crenshaw,AL,1576952763,Alabama,AL,Crenshaw,11.000000,10.000000,8.000000,13194.000000,13194.000000,True,nonmetro,0,32.633384,0,32.633384,0,32.633384
01043,Cullman,AL,1902962812,Alabama,AL,Cullman,50.000000,49.000000,4.000000,87866.000000,66426.000000,True,nonmetro,0,38.654127,0,38.654127,0,38.654127
01045,Dale,AL,1453276166,Alabama,AL,Dale,25.000000,25.000000,4.000000,49326.000000,24886.000000,True,nonmetro,0,19.203801,0,19.203801,0,19.203801
01047,Dallas,AL,2534919608,Alabama,AL,Dallas,31.000000,30.000000,4.000000,38462.000000,17255.000000,True,nonmetro,0,72.315681,0,72.315681,0,58.982446
01049,DeKalb,AL,2012620262,Alabama,AL,DeKalb,50.000000,53.000000,6.000000,71608.000000,63228.000000,True,nonmetro,0,43.440934,0,43.440934,0,43.440934
01051,Elmore,AL,1601945705,Alabama,AL,Elmore,56.000000,50.000000,2.000000,87977.000000,62672.000000,True,metro,0,31.863927,0,31.863927,0,31.863927
01053,Escambia,AL,2448595161,Alabama,AL,Escambia,29.000000,27.000000,6.000000,36757.000000,23996.000000,True,nonmetro,0,39.750971,0,39.750971,0,38.263807
