stateabbr,counties,sites_active,population,mean_crude_prev,desert_counties,sites_per_100k
AK,30,0,733406,3.85,13,0.0
ND,53,0,783926,3.960377358490566,21,0.0
MT,56,0,1132812,4.196428571428571,34,0.0
WY,23,0,584057,3.639130434782609,5,0.0
NV,17,1,3194176,4.2176470588235295,8,0.03130697870123625
MS,82,3,2939690,5.195121951219512,67,0.10205157686694856
ID,44,3,1964726,3.847727272727273,16,0.1526930472747854
CO,64,10,5877610,3.5296875,16,0.17013718160953176
KY,120,9,4526154,,0,0.19884431683058065
NE,93,4,1978379,3.852688172043011,31,0.202185728821424
HI,5,3,1435138,4.58,2,0.20903913073167876
NH,10,3,1402054,3.3899999999999997,1,0.2139717871066307
AZ,15,16,7431344,4.366666666666666,9,0.21530425721107782
WA,39,17,7812880,3.7153846153846155,12,0.21758941645078383
AR,75,7,3067732,4.790666666666667,61,0.2281816012611271
OR,36,11,4233358,4.022222222222222,16,0.25984100565083323
VA,133,23,8715698,4.075187969924812,70,0.26389165847646395
VT,14,2,647464,3.564285714285714,1,0.30889748310330767
IN,92,22,6862199,3.7630434782608693,22,0.32059693984391885
TX,253,100,30503258,3.9719367588932806,113,0.32783383335642374
NM,33,7,2114371,4.466666666666667,21,0.3310677265248152
AL,67,18,5108468,4.87910447761194,47,0.35235612712069453
NJ,21,33,9290841,3.185714285714286,0,0.3551885130743277
ME,16,5,1395722,3.91875,5,0.35823752867691416
WI,72,22,5910955,3.8152777777777778,30,0.3721902805891772
TN,95,27,7126489,4.313684210526316,65,0.3788681916158153
CA,58,153,38965193,3.6086206896551722,12,0.3926581346587966
WV,55,7,1770071,4.572727272727272,44,0.3954643627289527
FL,67,91,22610726,4.298507462686567,37,0.40246385719768574
OK,77,17,4053824,4.301298701298701,53,0.4193571304526294
IA,99,14,3207004,3.748484848484848,25,0.43654451319674065
NC,100,48,10835491,4.416,62,0.44298869335962715
GA,159,49,11029227,4.527672955974842,104,0.4442741091465431
MI,83,45,10037261,4.127710843373494,42,0.4483294795263369
LA,64,21,4573749,4.85625,41,0.45914194241966494
DE,3,5,1031890,3.8666666666666667,1,0.48454777156479856
PA,67,63,12961683,,0,0.4860479923787675
CT,9,18,3617176,3.2555555555555555,0,0.49762577214932313
MO,115,31,6196156,4.2843478260869565,73,0.5003101923192379
NY,62,103,19571216,3.585483870967742,5,0.5262830883885804
SD,66,5,919318,4.203030303030303,34,0.5438814425476277
KS,105,16,2940546,3.824761904761905,36,0.5441166368422735
MN,87,32,5737915,3.6873563218390806,23,0.5576938661517293
IL,102,71,12549689,3.85,35,0.5657510716002604
OH,88,72,11785935,3.8636363636363638,31,0.6108976504621823
UT,29,21,3417734,3.2586206896551726,4,0.6144422005925564
MD,24,40,6180253,3.641666666666667,8,0.6472226946048972
SC,46,36,5373555,4.778260869565218,33,0.6699475486898339
RI,5,8,1095962,3.16,0,0.7299523158649661
MA,14,65,7001399,3.1714285714285713,0,0.9283858840211792
DC,1,12,678972,2.8,0,1.7673777416447218
