STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,countyfips_2020,tractfips_2020,nearest_active_miles,nearest_recruiting_miles,nearest_active_plus_unknown_sensitivity_miles,metro_status_2023
01,001,020100,1775,32.476823,-86.486599,01001,01001020100,44.734952,44.734952,44.734952,metro
01,001,020200,2055,32.471897,-86.472591,01001,01001020200,44.424919,44.424919,44.424919,metro
01,001,020300,3216,32.474583,-86.459254,01001,01001020300,43.764231,43.764231,43.764231,metro
01,001,020400,4246,32.468656,-86.442995,01001,01001020400,43.444686,43.444686,43.444686,metro
01,001,020501,4322,32.451532,-86.424422,01001,01001020501,43.662952,43.662952,43.662952,metro
01,001,020502,3284,32.468320,-86.417735,01001,01001020502,42.515868,42.515868,42.515868,metro
01,001,020503,3616,32.475466,-86.424981,01001,01001020503,42.405516,42.405516,42.405516,metro
01,001,020600,3729,32.443324,-86.476580,01001,01001020600,46.050014,46.050014,46.050014,metro
01,001,020700,3409,32.443790,-86.448740,01001,01001020700,44.973180,44.973180,44.973180,metro
01,001,020801,3143,32.440768,-86.523766,01001,01001020801,48.033340,48.033340,48.033340,metro
01,001,020803,4635,32.534208,-86.529864,01001,01001020803,43.844894,43.844894,43.844894,metro
01,001,020804,6064,32.497484,-86.440530,01001,01001020804,41.859071,41.859071,41.859071,metro
01,001,020805,3122,32.546522,-86.431903,01001,01001020805,39.064700,39.064700,39.064700,metro
01,001,020901,3268,32.640237,-86.457564,01001,01001020901,36.006917,36.006917,36.006917,metro
01,001,020902,3091,32.625009,-86.548849,01001,01001020902,40.991850,40.991850,40.991850,metro
01,001,021000,2645,32.610239,-86.726513,01001,01001021000,50.463411,50.463411,44.116983,metro
01,001,021100,3185,32.465983,-86.693542,01001,01001021100,54.224680,54.224680,54.224680,metro
01,003,010100,3745,31.057695,-87.759065,01003,01003010100,30.229485,30.229485,24.674093,metro
01,003,010200,3000,30.945590,-87.686166,01003,01003010200,27.381345,27.381345,24.371151,metro
01,003,010300,8380,30.800981,-87.845137,01003,01003010300,13.870276,13.870276,13.446482,metro
01,003,010400,5722,30.744995,-87.698233,01003,01003010400,19.595990,19.595990,15.635781,metro
01,003,010500,4850,30.892709,-87.777057,01003,01003010500,20.905881,20.905881,18.104917,metro
01,003,010600,3234,30.860098,-87.773368,01003,01003010600,19.683050,19.683050,17.838955,metro
01,003,010704,5307,30.644465,-87.882228,01003,01003010704,8.487826,8.487826,3.100679,metro
01,003,010706,4038,30.672697,-87.875410,01003,01003010706,10.073038,10.073038,5.064301,metro
01,003,010707,4994,30.678620,-87.906856,01003,01003010707,8.165185,8.165185,5.191834,metro
01,003,010708,11585,30.671727,-87.830383,01003,01003010708,11.156236,11.156236,6.414677,metro
01,003,010709,11650,30.588997,-87.849471,01003,01003010709,5.575049,5.575049,3.372231,metro
01,003,010710,6156,30.625941,-87.887346,01003,01003010710,7.177876,7.177876,1.825332,metro
01,003,010711,4230,30.640865,-87.899606,01003,01003010711,8.148780,8.148780,2.590511,metro
01,003,010800,7807,30.593989,-87.898099,01003,01003010800,4.916806,4.916806,0.735937,metro
01,003,010903,6599,30.605414,-87.760137,01003,01003010903,10.248057,10.248057,8.532574,metro
01,003,010904,7747,30.572148,-87.609675,01003,01003010904,17.800882,17.800882,12.256539,metro
01,003,010906,4754,30.561887,-87.694383,01003,01003010906,12.721217,12.721217,10.749192,metro
01,003,010907,4081,30.534980,-87.773855,01003,01003010907,7.750277,7.750277,7.750277,metro
01,003,010908,5979,30.551152,-87.723815,01003,01003010908,10.858982,10.858982,10.271323,metro
01,003,011000,5459,30.490891,-87.700666,01003,01003011000,12.266227,12.266227,5.912681,metro
01,003,011102,5684,30.480777,-87.852170,01003,01003011102,4.216003,4.216003,4.216003,metro
01,003,011103,3523,30.533253,-87.846137,01003,01003011103,3.477240,3.477240,3.477240,metro
01,003,011104,7875,30.512797,-87.859335,01003,01003011104,2.711360,2.711360,2.711360,metro
01,003,011201,4895,30.533686,-87.891800,01003,01003011201,1.009500,1.009500,1.009500,metro
01,003,011202,6773,30.508967,-87.903709,01003,01003011202,0.967778,0.967778,0.967778,metro
