nct_id,brief_title,overall_status,last_update,study_type,phase,conditions,facility,city,state,zip,country,site_status,lat,lon,facility_key,city_key,is_recruiting_site,is_active_site,countyfips,state_usps,state_agrees
NCT04312269,Combining MyoCI With Memory Reactivation to Improve Motor Recovery After Stroke,RECRUITING,2026-05-27,INTERVENTIONAL,NA,Stroke,Northwestern University,Chicago,Illinois,60611,United States,RECRUITING,41.85003,-87.65005,northwestern university,chicago,True,True,17031,IL,True
NCT04851886,PostureCheck: A Vision-based Compensatory-posture-detection Tool for Robot-assisted Upper-limb Therapy,RECRUITING,2026-04-02,INTERVENTIONAL,NA,Stroke,Spaulding Rehabilitation Hospital,Charlestown,Massachusetts,02129,United States,RECRUITING,42.37787,-71.062,spaulding rehabilitation hospital,charlestown,True,True,25025,MA,True
NCT04655963,Brain Stimulation for Improving Cognition in Chronic Stroke (NEPTUNE),ACTIVE_NOT_RECRUITING,2026-06-30,INTERVENTIONAL,NA,Chronic Stroke,Medical University of South Carolina,Charleston,South Carolina,29425,United States,,32.77632,-79.93275,medical university of south carolina,charleston,False,False,45019,SC,True
NCT04908423,Xeomin® and Gait Related Mobility After Stroke,RECRUITING,2025-11-25,INTERVENTIONAL,PHASE4,Stroke,Carolinas Rehabilitation,Charlotte,North Carolina,28203,United States,RECRUITING,35.22709,-80.84313,carolinas rehabilitation,charlotte,True,True,37119,NC,True
NCT06657235,Transitional Care Program to Improve Risk Factors in Stroke Survivors,RECRUITING,2025-06-03,INTERVENTIONAL,NA,"Stroke, Ischemic",Valley Health System,Winchester,Virginia,22601,United States,RECRUITING,39.18566,-78.16333,valley health system,winchester,True,True,51840,VA,True
NCT06759558,Allopregnanolone (Zuranolone) in Post-stroke Depression,RECRUITING,2026-09-03,INTERVENTIONAL,PHASE2,Post Stroke Depression,Duke South Neurology Clinic 1L,Durham,North Carolina,27710-0400,United States,RECRUITING,35.99403,-78.89862,duke south neurology clinic 1l,durham,True,True,37063,NC,True
NCT07649135,Feasibility of a Remotely Delivered Step Count Intervention in Chronic Stroke,RECRUITING,2026-07-10,INTERVENTIONAL,NA,Stroke|Ischemic Stroke|Hemorrhagic Stroke,University of Minnesota,Minneapolis,Minnesota,55455,United States,RECRUITING,44.97997,-93.26384,university of minnesota,minneapolis,True,True,27053,MN,True
NCT03726047,Exercise and Motor Learning After Stroke (Study #3),RECRUITING,2026-05-20,INTERVENTIONAL,NA,Stroke,University of Delaware,Newark,Delaware,19713,United States,RECRUITING,39.68372,-75.74966,university of delaware,newark,True,True,10003,DE,True
NCT04957355,Effect of NMES on Balance and Fall Risk in Chronic Stroke,RECRUITING,2026-05-22,INTERVENTIONAL,NA,Chronic Stroke,University of Illinois at Chicago,Chicago,Illinois,60612,United States,RECRUITING,41.85003,-87.65005,university of illinois at chicago,chicago,True,True,17031,IL,True
NCT04750551,BreEStim for Post-Stroke Motor Recovery,RECRUITING,2026-06-03,INTERVENTIONAL,NA,Motor Recovery,The University of Texas Health Science Center,Houston,Texas,77030,United States,RECRUITING,29.76328,-95.36327,the university of texas health science center,houston,True,True,48201,TX,True
NCT06365099,Identifying Personalized Brain States Predicting Residual Corticospinal Tract Output After Stroke,RECRUITING,2025-02-10,INTERVENTIONAL,PHASE1,Stroke,University of Texas at Austin,Austin,Texas,78712,United States,RECRUITING,30.26715,-97.74306,university of texas at austin,austin,True,True,48453,TX,True
NCT04411303,"A Novel, Comprehensive Approach to Post-stroke Gait Rehabilitation",ACTIVE_NOT_RECRUITING,2025-11-04,INTERVENTIONAL,PHASE1,CVA (Cerebrovascular Accident),University of Southern California,Los Angeles,California,90089,United States,,34.05223,-118.24368,university of southern california,los angeles,False,False,06037,CA,True
NCT05611242,Proximal Internal Carotid Artery Acute Stroke Secondary to Tandem or Local Occlusion Thrombectomy Trial,RECRUITING,2025-12-17,INTERVENTIONAL,PHASE3,Acute Ischemic Stroke,Mobile Infirmary Medical Center,Mobile,Alabama,36607,United States,RECRUITING,30.69436,-88.04305,mobile infirmary medical center,mobile,True,True,01097,AL,True
NCT05611242,Proximal Internal Carotid Artery Acute Stroke Secondary to Tandem or Local Occlusion Thrombectomy Trial,RECRUITING,2025-12-17,INTERVENTIONAL,PHASE3,Acute Ischemic Stroke,Glendale Adventist Medical Center,Glendale,California,91206,United States,RECRUITING,34.14251,-118.25508,glendale adventist medical center,glendale,True,True,06037,CA,True
