fips_st_cnty,st_name,st_name_abbrev,cnty_name,cerbrvsc_dis_deth_3yr_23,cerbrvsc_dis_deth_3yr_22,rural_urban_contnm_23,cens_popn_20,cens_rural_popn_20
01001,Alabama,AL,Autauga,40,41,2,58805,23920
01003,Alabama,AL,Baldwin,136,140,3,231767,87113
01005,Alabama,AL,Barbour,13,13,6,25223,16627
01007,Alabama,AL,Bibb,12,12,1,22293,22293
01009,Alabama,AL,Blount,38,41,1,59134,53510
01011,Alabama,AL,Bullock,,,8,10357,10357
01013,Alabama,AL,Butler,21,23,6,19051,13228
01015,Alabama,AL,Calhoun,55,58,3,116441,42494
01017,Alabama,AL,Chambers,30,34,6,34772,17645
01019,Alabama,AL,Cherokee,16,18,8,24971,24971
01021,Alabama,AL,Chilton,36,34,1,45014,38507
01023,Alabama,AL,Choctaw,12,12,9,12665,12665
01025,Alabama,AL,Clarke,15,20,9,23087,23087
01027,Alabama,AL,Clay,10,11,9,14236,14236
01029,Alabama,AL,Cleburne,,,8,15056,15056
01031,Alabama,AL,Coffee,32,34,4,53465,25412
01033,Alabama,AL,Colbert,33,37,3,57227,23060
01035,Alabama,AL,Conecuh,12,14,9,11597,11597
01037,Alabama,AL,Coosa,,,8,10387,10387
01039,Alabama,AL,Covington,38,35,6,37570,25854
01041,Alabama,AL,Crenshaw,11,10,8,13194,13194
01043,Alabama,AL,Cullman,50,49,4,87866,66426
01045,Alabama,AL,Dale,25,25,4,49326,24886
01047,Alabama,AL,Dallas,31,30,4,38462,17255
01049,Alabama,AL,DeKalb,50,53,6,71608,63228
01051,Alabama,AL,Elmore,56,50,2,87977,62672
01053,Alabama,AL,Escambia,29,27,6,36757,23996
01055,Alabama,AL,Etowah,77,83,3,103436,44653
01057,Alabama,AL,Fayette,17,16,8,16321,16321
01059,Alabama,AL,Franklin,20,21,6,32113,22174
01061,Alabama,AL,Geneva,21,22,3,26659,26510
01063,Alabama,AL,Greene,,,2,7730,7730
01065,Alabama,AL,Hale,12,11,2,14785,14785
01067,Alabama,AL,Henry,13,13,3,17146,17146
01069,Alabama,AL,Houston,68,64,3,107202,36788
01071,Alabama,AL,Jackson,43,39,6,52579,39597
01073,Alabama,AL,Jefferson,476,503,1,674721,81445
01075,Alabama,AL,Lamar,12,14,8,13972,13972
01077,Alabama,AL,Lauderdale,55,59,3,93564,48806
01079,Alabama,AL,Lawrence,24,28,3,33073,33071
01081,Alabama,AL,Lee,72,62,3,174241,45982
01083,Alabama,AL,Limestone,62,60,2,103570,52834
01085,Alabama,AL,Lowndes,,11,2,10311,10311
01087,Alabama,AL,Macon,13,16,3,19532,10529
01089,Alabama,AL,Madison,228,220,2,388153,66383
01091,Alabama,AL,Marengo,10,10,6,19323,13096
01093,Alabama,AL,Marion,29,29,9,29341,29341
01095,Alabama,AL,Marshall,64,71,4,97612,52370
01097,Alabama,AL,Mobile,287,301,2,414809,92902
01099,Alabama,AL,Monroe,19,17,8,19772,15488
01101,Alabama,AL,Montgomery,151,155,2,228954,28308
01103,Alabama,AL,Morgan,77,83,3,123421,47440
01105,Alabama,AL,Perry,,,8,8511,8511
01107,Alabama,AL,Pickens,16,20,2,19123,19123
01109,Alabama,AL,Pike,21,20,6,33009,18543
01111,Alabama,AL,Randolph,16,15,8,21967,21967
01113,Alabama,AL,Russell,49,43,2,59183,23881
01115,Alabama,AL,St. Clair,66,62,1,91103,61140
01117,Alabama,AL,Shelby,108,108,1,223024,53453
01119,Alabama,AL,Sumter,,,8,12345,12345
01121,Alabama,AL,Talladega,59,60,4,82149,48205
01123,Alabama,AL,Tallapoosa,34,30,6,41311,32391
01125,Alabama,AL,Tuscaloosa,116,124,2,227036,70586
01127,Alabama,AL,Walker,55,55,1,65342,52068
01129,Alabama,AL,Washington,16,14,8,15388,15388
01131,Alabama,AL,Wilcox,,,9,10600,10600
01133,Alabama,AL,Winston,16,17,8,23540,23540
02013,Alaska,AK,Aleutians East (B),,,9,3420,3420
02016,Alaska,AK,Aleutians West (CA),,,9,5232,5232
02020,Alaska,AK,Anchorage (B),89,85,2,291247,12434
02050,Alaska,AK,Bethel (CA),,,7,18666,13569
02060,Alaska,AK,Bristol Bay (B),,,9,844,844
02063,Alaska,AK,Chugach (CA),,,9,7102,7102
02066,Alaska,AK,Copper River (CA),,,9,2617,2617
02068,Alaska,AK,Denali (B),,,9,1619,1619
02070,Alaska,AK,Dillingham (CA),,,9,4857,4857
02090,Alaska,AK,Fairbanks North Star (B),28,32,3,95655,24259
02100,Alaska,AK,Haines (B),,,9,2080,2080
02105,Alaska,AK,Hoonah-Angoon (CA),,,9,2365,2365
02110,Alaska,AK,Juneau (B),,,5,32255,7499
02122,Alaska,AK,Kenai Peninsula (B),21,23,7,58799,45511
02130,Alaska,AK,Ketchikan Gateway (B),,,7,13948,1973
02150,Alaska,AK,Kodiak Island (B),,,7,13101,3571
02158,Alaska,AK,Kusilvak (CA),,,9,8368,8368
02164,Alaska,AK,Lake and Peninsula (B),,,9,1476,1476
02170,Alaska,AK,Matanuska-Susitna (B),36,37,2,107081,53637
02180,Alaska,AK,Nome (CA),,,9,10046,10046
02185,Alaska,AK,North Slope (B),,,9,11031,11031
02188,Alaska,AK,Northwest Arctic (B),,,9,7793,7793
02195,Alaska,AK,Petersburg (B),,,9,3398,3398
02198,Alaska,AK,Prince of Wales-Hyde,,,9,5753,5753
02220,Alaska,AK,Sitka (B),,,7,8458,790
02230,Alaska,AK,Skagway Municipality (B),,,9,1240,1240
02240,Alaska,AK,Southeast Fairbanks (CA),,,9,6808,6808
02261,Alaska,AK,Valdez-Cordova (CA),,,,,
02275,Alaska,AK,Wrangell (B),,,9,2127,2127
02282,Alaska,AK,Yakutat (B),,,9,662,662
02290,Alaska,AK,Yukon-Koyukuk (CA),,,8,5343,5343
04001,Arizona,AZ,Apache,28,28,8,66021,66021
04003,Arizona,AZ,Cochise,73,73,3,125447,46124
04005,Arizona,AZ,Coconino,34,34,3,145101,47019
04007,Arizona,AZ,Gila,36,37,4,53272,23630
04009,Arizona,AZ,Graham,18,20,7,38533,20202
04011,Arizona,AZ,Greenlee,,,9,9563,9563
04012,Arizona,AZ,La Paz,11,13,6,16557,7189
04013,Arizona,AZ,Maricopa,1815,1813,1,4420568,101879
04015,Arizona,AZ,Mohave,181,182,3,213267,51040
04017,Arizona,AZ,Navajo,73,70,4,106717,68569
04019,Arizona,AZ,Pima,583,582,1,1043433,92260
04021,Arizona,AZ,Pinal,182,175,1,425264,97947
04023,Arizona,AZ,Santa Cruz,24,20,6,47669,28501
04025,Arizona,AZ,Yavapai,163,164,3,236209,75541
04027,Arizona,AZ,Yuma,108,101,3,203881,30787
05001,Arkansas,AR,Arkansas,16,17,6,17149,9017
05003,Arkansas,AR,Ashley,15,16,7,19062,11878
05005,Arkansas,AR,Baxter,56,52,7,41627,23844
05007,Arkansas,AR,Benton,107,100,2,284333,68252
05009,Arkansas,AR,Boone,23,21,7,37373,23423
05011,Arkansas,AR,Bradley,,,7,10545,5267
05013,Arkansas,AR,Calhoun,,,9,4739,4739
05015,Arkansas,AR,Carroll,15,20,6,28260,23203
05017,Arkansas,AR,Chicot,,,9,10208,10208
05019,Arkansas,AR,Clark,14,15,7,21446,11360
05021,Arkansas,AR,Clay,,,9,14552,14552
05023,Arkansas,AR,Cleburne,20,21,6,24711,17968
05025,Arkansas,AR,Cleveland,,,8,7550,7550
05027,Arkansas,AR,Columbia,13,18,7,22801,12398
05029,Arkansas,AR,Conway,14,12,6,20715,14375
